date (:DateTime),Tair (K),wind_speed (m / s),SWdn (W / m^2),LWdn (W / m^2),RH,GPP (μmol / m^2 / s)
2015-03-07T00:00:00,297.8769466666667,3.917959089,0,-61.03,0.8285105666666669,0
2015-03-07T00:30:00,297.789315,3.877063862,0,-58.0833333333333,0.830456566666667,0
2015-03-07T01:00:00,297.8393783333333,4.48353086,0,-48.9783333333333,0.8283837333333329,0
2015-03-07T01:30:00,297.9135666666667,4.179707393,0,-42.175,0.8336785999999999,0
2015-03-07T10:00:00,299.4738116666667,6.269078177,555.2897,-58.2383333333333,0.72431895,19.40256007
2015-03-07T10:30:00,299.865005,6.222894494,822.99035,-65.0883333333333,0.70891755,19.79649902
2015-03-07T11:00:00,300.21491,6.538711385,831.2865,-66.2733333333333,0.6891039000000001,20.01430633
2015-03-07T11:30:00,300.323235,6.932481232,999.155916666667,-67.005,0.685142216666667,17.89028493
2015-03-07T12:00:00,300.5305233333333,7.05516798,1037.50805,-69.7133333333333,0.67398805,17.59494003
2015-03-07T12:30:00,300.7923066666667,5.989197807,1077.69233333333,-70.3883333333333,0.6791702833333331,16.71223127
2015-03-07T13:00:00,300.7189766666667,5.71668796,998.056966666667,-68.0866666666667,0.6927567166666669,16.36267073
2015-03-07T13:30:00,300.4953816666667,6.091862472,870.350966666667,-65.0533333333333,0.690554716666667,17.20597263
2015-03-07T14:00:00,300.7125766666667,5.931970965,959.381483333333,-71.6666666666667,0.6837263,15.28543962
2015-03-07T14:30:00,300.661235,5.830565427,886.377833333333,-72.2966666666667,0.6897565,15.39210817
2015-03-07T15:00:00,300.5789533333333,5.79964584,785.28605,-77.2033333333333,0.698119383333333,12.98668028
2015-03-07T15:30:00,300.1360083333333,6.39873869,676.8184,-76.1583333333333,0.7171157499999999,11.51737749
2015-03-07T16:00:00,299.9921833333333,5.812096358,561.165,-75.6783333333333,0.7211892166666669,10.97152057
2015-03-07T16:30:00,299.887135,5.584004153,431.050766666667,-75.49,0.73488205,11.0935993
2015-03-07T17:00:00,299.5452333333333,5.601123187,297.266533333333,-72.6683333333333,0.746527966666667,8.445054044
2015-03-07T17:30:00,299.1533716666667,5.278303331,154.21655,-67.9016666666667,0.766132833333333,6.776736777
2015-03-07T18:00:00,298.6851633333333,5.151976738,35.3455616666667,-65.7733333333333,0.791805466666667,0.608421342
2015-03-07T18:30:00,298.33956,4.628360726,1.01487733333333,-64.0333333333333,0.804431216666667,0
2015-03-07T19:00:00,298.2267033333333,4.783326098,0,-65.6366666666667,0.805243133333333,0
2015-03-07T19:30:00,298.20194,5.321378234,0,-66.2916666666667,0.790520833333333,0
2015-03-07T02:00:00,297.9596266666667,4.584841078,0,-43.5633333333333,0.8286145500000001,0
2015-03-07T02:30:00,297.9256983333333,4.753396514,0,-33.4683333333333,0.835094233333333,0
2015-03-07T20:00:00,298.145915,4.405390335,0,-65.3333333333333,0.7931454499999999,0
2015-03-07T20:30:00,298.0656466666667,4.572878891,0,-65.6116666666667,0.804485583333333,0
2015-03-07T21:00:00,298.0404783333333,4.799541849,0,-68.2916666666667,0.792536316666667,0
2015-03-07T21:30:00,297.9864283333333,5.210216094,0,-69.6983333333333,0.7866813,0
2015-03-07T22:00:00,297.8898016666667,4.833858605,0,-69.1583333333333,0.7981900333333329,0
2015-03-07T22:30:00,297.92708,4.869222824,0,-68.2633333333333,0.7947603333333331,0
